Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Kano,NGA_KAN,Starting a business - Score,IC.REG.STRT.BUS.DFRN,..,..,..,69.88302,73.15914,73.41997,76.02173,77.72418,79.93566,86.03211
Lagos,NGA_LAG,Starting a business - Score,IC.REG.STRT.BUS.DFRN,74.05778,74.205,74.90885,75.503,78.62826,78.9006,79.87021,81.65996,83.87221,86.2744
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Doing Business,,,,,,,,,,,,,
Last Updated: 08/18/2021,,,,,,,,,,,,,
